Tm,EXP,TO,NY/A,Y/A,Year,Pass_QB_def_norm,Rush_def_norm
SF,56.26,30,5.9,3.4,2022,-0.4280522217268443,-2.2765745029870854
BUF,4.46,27,5.6,4.3,2022,-0.9909702119429711,-0.3076452031063646
BAL,-32.38,25,6.2,3.9,2022,0.1348657684892807,-1.1827248919422404
NYJ,25.96,16,5.4,4.2,2022,-1.3662488720870534,-0.5264151253153329
CIN,-20.02,24,6.2,4.2,2022,0.1348657684892807,-0.5264151253153329
DAL,31.77,33,5.7,4.4,2022,-0.8033308818709283,-0.08887528089739444
WSH,7.28,18,5.8,4.4,2022,-0.6156915517988871,-0.08887528089739444
PHI,20.73,27,4.9,4.6,2022,-2.304445522447262,0.34866456352054204
NO,-30.6,14,5.4,4.5,2022,-1.3662488720870534,0.1298946413115738
PIT,-47.1,23,6.5,4.2,2022,0.6977837587054058,-0.5264151253153329
NE,55.35,30,5.7,4.1,2022,-0.8033308818709283,-0.745185047524303
JAX,-52.27,27,6.4,4.2,2022,0.5101444286333646,-0.5264151253153329
TB,-36.51,20,5.6,4.5,2022,-0.9909702119429711,0.1298946413115738
DEN,7.24,23,5.6,4.3,2022,-0.9909702119429711,-0.3076452031063646
TEN,-52.12,20,6.6,3.4,2022,0.8854230887774469,-2.2765745029870854
KC,-65.59,20,5.6,4.4,2022,-0.9909702119429711,-0.08887528089739444
GB,-63.86,24,6.5,5.0,2022,0.6977837587054058,1.2237442523564188
NYG,-125.22,19,6.0,5.2,2022,-0.24041289165480323,1.6612840967743572
CAR,-52.04,17,6.3,4.3,2022,0.3225050985613218,-0.3076452031063646
CLE,-57.92,20,6.0,4.7,2022,-0.24041289165480323,0.5674344857295122
LAC,-84.56,24,6.2,5.4,2022,0.1348657684892807,2.0988239411922955
LAR,-75.59,22,6.5,4.3,2022,0.6977837587054058,-0.3076452031063646
ATL,-123.5,17,6.8,4.4,2022,1.2607017489215309,-0.08887528089739444
MIA,-66.41,14,6.0,4.1,2022,-0.24041289165480323,-0.745185047524303
SEA,-113.17,25,6.1,4.9,2022,-0.052773561582762085,1.0049743301474505
LV,-132.08,13,6.7,4.5,2022,1.0730624188494897,0.1298946413115738
HOU,-80.38,27,6.3,5.1,2022,0.3225050985613218,1.442514174565387
MIN,-104.0,25,6.9,4.5,2022,1.4483410789935736,0.1298946413115738
DET,-159.66,22,7.0,5.2,2022,1.6359804090656147,1.6612840967743572
IND,-51.07,21,6.1,4.1,2022,-0.052773561582762085,-0.745185047524303
ARI,-81.73,20,6.2,4.5,2022,0.1348657684892807,0.1298946413115738
CHI,-169.13,23,7.4,4.9,2022,2.3865377293537824,1.0049743301474505
BAL,113.76,31,4.7,4.5,2023,-2.242101256189344,0.7929914086968325
KC,35.54,17,4.9,4.5,2023,-1.9052597529120714,0.7929914086968325
SF,-7.76,28,5.4,4.1,2023,-1.0631559947188904,-0.25343024401651565
BUF,5.71,30,5.5,4.6,2023,-0.8947352430802548,1.0545968218751685
DAL,4.29,26,5.7,4.2,2023,-0.5578937398029821,0.00817516916182256
PIT,-3.91,27,6.2,4.3,2023,0.2842100183901989,0.26978058234015845
TB,-29.99,26,6.4,3.8,2023,0.6210515216674716,-1.0382464835515255
NO,35.39,29,6.0,4.4,2023,-0.05263148488707381,0.5313859955184966
LV,-22.59,22,5.9,4.2,2023,-0.2210522365257094,0.00817516916182256
GB,-84.9,18,6.2,4.4,2023,0.2842100183901989,0.5313859955184966
HOU,-35.92,24,6.5,3.5,2023,0.7894722733061071,-1.8230627230865355
NYJ,75.84,27,5.0,4.1,2023,-1.7368390012734356,-0.25343024401651565
MIN,-37.62,22,6.1,3.8,2023,0.11578926675156179,-1.0382464835515255
CLE,90.47,28,4.8,4.3,2023,-2.0736805045507083,0.26978058234015845
NE,25.44,18,5.8,3.3,2023,-0.3894729881643465,-2.3462735494432096
TEN,-69.25,14,6.3,3.8,2023,0.45263077002883445,-1.0382464835515255
JAX,-8.04,27,6.2,4.2,2023,0.2842100183901989,0.00817516916182256
ATL,6.86,16,5.8,4.0,2023,-0.3894729881643465,-0.5150356571948516
LAR,-64.62,15,6.1,4.2,2023,0.11578926675156179,0.00817516916182256
CHI,-34.58,28,6.2,3.8,2023,0.2842100183901989,-1.0382464835515255
CIN,-92.17,26,7.1,4.7,2023,1.7999967831379238,1.3162022350535065
MIA,-10.59,27,6.0,3.8,2023,-0.05263148488707381,-1.0382464835515255
DET,-110.17,23,6.7,3.7,2023,1.1263137765833797,-1.2998518967298616
LAC,-92.65,21,6.6,4.1,2023,0.9578930249447427,-0.25343024401651565
SEA,-122.46,19,6.3,4.6,2023,0.45263077002883445,1.0545968218751685
NYG,-37.29,31,6.3,4.7,2023,0.45263077002883445,1.3162022350535065
DEN,-91.09,26,6.5,5.0,2023,0.7894722733061071,2.1010184745885163
IND,-38.18,24,6.2,4.1,2023,0.2842100183901989,-0.25343024401651565
CAR,-56.65,11,5.7,4.1,2023,-0.5578937398029821,-0.25343024401651565
PHI,-121.62,18,6.2,4.3,2023,0.2842100183901989,0.26978058234015845
ARI,-160.5,17,6.7,4.7,2023,1.1263137765833797,1.3162022350535065
WSH,-148.31,18,7.0,4.5,2023,1.631576031499288,0.7929914086968325
LAC,-12.31,21,5.8,4.7,2024,-0.9692386507246458,0.8746287504430585
PHI,76.38,26,5.1,4.3,2024,-2.7201213746143242,-0.3832642839020147
DEN,34.83,25,5.6,3.9,2024,-1.4694908575502685,-1.6411573182470867
KC,-74.11,20,6.1,4.1,2024,-0.21886034048621283,-1.0122108010745514
MIN,35.95,33,6.0,4.1,2024,-0.46898644389902305,-1.0122108010745514
GB,10.82,31,6.0,4.0,2024,-0.46898644389902305,-1.3266840596608183
DET,-58.06,24,6.4,4.5,2024,0.5315179697522223,0.2456822332705219
PIT,-34.89,33,6.2,4.1,2024,0.03126576292659961,-1.0122108010745514
BAL,-49.44,17,6.1,3.6,2024,-0.21886034048621283,-2.58457709400589
MIA,-5.7,16,5.9,4.4,2024,-0.7191125473118333,-0.06879102531574502
BUF,-76.45,32,6.2,4.5,2024,0.03126576292659961,0.2456822332705219
SEA,-11.4,18,5.9,4.6,2024,-0.7191125473118333,0.5601554918567888
CHI,-53.66,24,6.8,4.8,2024,1.5320223834034654,1.1891020090293254
HOU,20.49,29,5.7,4.3,2024,-1.219364754137456,-0.3832642839020147
ARI,-110.14,17,6.3,4.6,2024,0.2813918663394098,0.5601554918567888
TB,-87.52,18,6.1,4.3,2024,-0.21886034048621283,-0.3832642839020147
LAR,-86.46,20,6.5,4.6,2024,0.7816440731650325,0.5601554918567888
WSH,-147.39,17,6.0,4.8,2024,-0.46898644389902305,1.1891020090293254
NO,-107.32,17,6.4,4.9,2024,0.5315179697522223,1.5035752676155951
NYJ,-93.24,17,5.8,4.1,2024,-0.9692386507246458,-1.0122108010745514
NYG,-97.6,15,6.5,4.6,2024,0.7816440731650325,0.5601554918567888
NE,-133.48,12,6.4,4.4,2024,0.5315179697522223,-0.06879102531574502
ATL,-85.85,18,6.3,4.5,2024,0.2813918663394098,0.2456822332705219
IND,-73.33,25,6.7,4.2,2024,1.2818962799906553,-0.6977375424882817
CIN,-101.94,25,6.2,4.4,2024,0.03126576292659961,-0.06879102531574502
LV,-69.33,13,6.1,4.4,2024,-0.21886034048621283,-0.06879102531574502
CLE,-61.95,12,6.5,4.5,2024,0.7816440731650325,0.2456822332705219
JAX,-165.95,9,7.1,4.4,2024,2.2824006936418986,-0.06879102531574502
SF,-88.77,17,5.9,4.4,2024,-0.7191125473118333,-0.06879102531574502
TEN,-90.11,18,6.0,4.5,2024,-0.46898644389902305,0.2456822332705219
DAL,-117.02,22,6.6,4.8,2024,1.0317701765778426,1.1891020090293254
CAR,-220.48,17,6.8,5.2,2024,1.5320223834034654,2.4469950433743985
