Tm,Att_20,Yds_20,TD_20,%Rush_20,Att_10,Yds_10,TD_10,%Rush_10,Att_5,Yrds_5,TD_5,%Rush_5,Highlights,Player,Year
NOR,2,4,0,3.60%,0,0,0,0.00%,0,0,0,0.00%,All Adam Prentice red zone rushing plays,Adam Prentice,2022
BAL,2,3,0,2.30%,2,3,0,5.00%,0,0,0,0.00%,All Patrick Ricard red zone rushing plays,Patrick Ricard,2022
MIA,2,1,1,3.90%,1,1,1,4.80%,1,1,1,8.30%,All Durham Smythe red zone rushing plays,Durham Smythe,2022
PIT,2,4,1,2.70%,1,2,1,2.40%,1,2,1,4.20%,All Benny Snell red zone rushing plays,Benny Snell,2022
LVR,2,13,0,3.80%,1,4,0,3.70%,0,0,0,0.00%,All Jarrett Stidham red zone rushing plays,Jarrett Stidham,2022
CIN,2,6,0,2.60%,1,-3,0,2.00%,1,-3,0,4.50%,All Trent Taylor red zone rushing plays,Trent Taylor,2022
NWE,2,18,1,3.20%,1,-1,0,3.10%,0,0,0,0.00%,All Tyquan Thornton red zone rushing plays,Tyquan Thornton,2022
KAN,2,25,1,2.40%,0,0,0,0.00%,0,0,0,0.00%,All Kadarius Toney red zone rushing plays,Kadarius Toney,2022
PIT,2,3,1,2.70%,1,1,1,2.40%,1,1,1,4.20%,All Derek Watt red zone rushing plays,Derek Watt,2022
LVR,2,-5,0,3.80%,0,0,0,0.00%,0,0,0,0.00%,All Zamir White red zone rushing plays,Zamir White,2022
IND,2,5,0,2.80%,0,0,0,0.00%,0,0,0,0.00%,All Jordan Wilkins red zone rushing plays,Jordan Wilkins,2022
ATL,2,6,1,1.80%,1,8,1,2.10%,0,0,0,0.00%,All Avery Williams red zone rushing plays,Avery Williams,2022
LVR,1,3,0,1.90%,1,3,0,3.70%,0,0,0,0.00%,All Ameer Abdullah red zone rushing plays,Ameer Abdullah,2022
NYG,1,2,1,1.40%,1,2,1,2.20%,1,2,1,4.20%,All Daniel Bellinger red zone rushing plays,Daniel Bellinger,2022
NYJ,1,15,1,1.60%,0,0,0,0.00%,0,0,0,0.00%,All Braxton Berrios red zone rushing plays,Braxton Berrios,2022
DEN,1,1,0,2.60%,0,0,0,0.00%,0,0,0,0.00%,All Mike Boone red zone rushing plays,Mike Boone,2022
MIA,1,10,0,2.00%,0,0,0,0.00%,0,0,0,0.00%,All Teddy Bridgewater red zone rushing plays,Teddy Bridgewater,2022
KAN,1,2,0,1.20%,0,0,0,0.00%,0,0,0,0.00%,All Michael Burton red zone rushing plays,Michael Burton,2022
IND,1,1,0,1.40%,0,0,0,0.00%,0,0,0,0.00%,All Parris Campbell red zone rushing plays,Parris Campbell,2022
CIN,1,-1,0,1.30%,0,0,0,0.00%,0,0,0,0.00%,All Ja'Marr Chase red zone rushing plays,Ja'Marr Chase,2022
PIT,1,0,0,1.40%,1,0,0,2.40%,1,0,0,4.20%,All Chase Claypool red zone rushing plays,Chase Claypool,2022
NYJ,1,1,0,1.60%,1,1,0,3.30%,1,1,0,7.10%,All Tyler Conklin red zone rushing plays,Tyler Conklin,2022
JAX,1,3,1,1.30%,1,3,1,2.10%,1,3,1,4.30%,All Snoop Conner red zone rushing plays,Snoop Conner,2022
JAX,1,0,0,1.30%,1,0,0,2.10%,0,0,0,0.00%,All Evan Engram red zone rushing plays,Evan Engram,2022
IND,1,0,0,1.40%,0,0,0,0.00%,0,0,0,0.00%,All Nick Foles red zone rushing plays,Nick Foles,2022
KAN,1,1,1,1.20%,1,1,1,2.20%,1,1,1,4.30%,All Noah Gray red zone rushing plays,Noah Gray,2022
DEN,1,9,0,2.60%,0,0,0,0.00%,0,0,0,0.00%,All KJ Hamler red zone rushing plays,KJ Hamler,2022
KAN,1,3,1,1.20%,1,3,1,2.20%,1,3,1,4.30%,All Mecole Hardman red zone rushing plays,Mecole Hardman,2022
DAL,1,2,1,1.40%,1,2,1,2.40%,1,2,1,4.30%,All Peyton Hendershot red zone rushing plays,Peyton Hendershot,2022
LAC,1,3,0,1.40%,1,3,0,2.60%,1,3,0,6.70%,All Zander Horvath red zone rushing plays,Zander Horvath,2022
WAS,1,9,1,1.30%,1,9,1,2.30%,0,0,0,0.00%,All Sam Howell red zone rushing plays,Sam Howell,2022
MIA,1,0,0,2.00%,0,0,0,0.00%,0,0,0,0.00%,All Robert Hunt red zone rushing plays,Robert Hunt,2022
BAL,1,1,0,1.10%,0,0,0,0.00%,0,0,0,0.00%,All Andy Isabella red zone rushing plays,Andy Isabella,2022
MIN,1,3,1,1.50%,1,3,1,2.20%,1,3,1,4.00%,All Justin Jefferson red zone rushing plays,Justin Jefferson,2022
CLE,1,4,0,1.30%,0,0,0,0.00%,0,0,0,0.00%,All D'Ernest Johnson red zone rushing plays,D'Ernest Johnson,2022
BUF,1,4,0,1.30%,0,0,0,0.00%,0,0,0,0.00%,All Duke Johnson red zone rushing plays,Duke Johnson,2022
SFO,1,-1,0,1.00%,0,0,0,0.00%,0,0,0,0.00%,All Josh Johnson red zone rushing plays,Josh Johnson,2022
KAN,1,2,1,1.20%,1,2,1,2.20%,1,2,1,4.30%,All Ronald Jones red zone rushing plays,Ronald Jones,2022
CHI,1,8,0,1.20%,0,0,0,0.00%,0,0,0,0.00%,All Velus Jones red zone rushing plays,Velus Jones,2022
DAL,1,6,0,1.40%,0,0,0,0.00%,0,0,0,0.00%,All CeeDee Lamb red zone rushing plays,CeeDee Lamb,2022
DEN,1,3,1,2.60%,1,3,1,3.60%,1,3,1,6.70%,All Marlon Mack red zone rushing plays,Marlon Mack,2022
PIT,1,3,0,1.40%,1,3,0,2.40%,0,0,0,0.00%,All Anthony McFarland red zone rushing plays,Anthony McFarland,2022
WAS,1,1,0,1.30%,0,0,0,0.00%,0,0,0,0.00%,All J.D. McKissic red zone rushing plays,J.D. McKissic,2022
ARI,1,2,0,1.50%,0,0,0,0.00%,0,0,0,0.00%,All Trace McSorley red zone rushing plays,Trace McSorley,2022
CHI,1,2,0,1.20%,0,0,0,0.00%,0,0,0,0.00%,All Darnell Mooney red zone rushing plays,Darnell Mooney,2022
CAR,1,1,0,1.40%,0,0,0,0.00%,0,0,0,0.00%,All D.J. Moore red zone rushing plays,D.J. Moore,2022
ARI,1,-4,0,1.50%,1,-4,0,2.90%,0,0,0,0.00%,All Rondale Moore red zone rushing plays,Rondale Moore,2022
KAN,1,3,0,1.20%,1,3,0,2.20%,0,0,0,0.00%,All Skyy Moore red zone rushing plays,Skyy Moore,2022
PHI,1,0,0,0.80%,1,0,0,1.40%,0,0,0,0.00%,All Zach Pascal red zone rushing plays,Zach Pascal,2022
PIT,1,1,1,1.40%,1,1,1,2.40%,1,1,1,4.20%,All George Pickens red zone rushing plays,George Pickens,2022
DET,1,8,0,1.10%,0,0,0,0.00%,0,0,0,0.00%,All Kalif Raymond red zone rushing plays,Kalif Raymond,2022
MIN,1,5,0,1.50%,0,0,0,0.00%,0,0,0,0.00%,All Jalen Reagor red zone rushing plays,Jalen Reagor,2022
DET,1,5,0,1.10%,0,0,0,0.00%,0,0,0,0.00%,All Craig Reynolds red zone rushing plays,Craig Reynolds,2022
LAR,1,1,0,2.00%,0,0,0,0.00%,0,0,0,0.00%,All Ronnie Rivers red zone rushing plays,Ronnie Rivers,2022
LAR,1,17,1,2.00%,0,0,0,0.00%,0,0,0,0.00%,All Ben Skowronek red zone rushing plays,Ben Skowronek,2022
LAR,1,1,1,0.02,1,1,1,0.038,1,1,1,0.071,All Matthew Stafford red zone rushing plays,Matthew Stafford,2022
NWE,1,-1,0,1.60%,1,-1,0,3.10%,1,-1,0,8.30%,All J.J. Taylor red zone rushing plays,J.J. Taylor,2022
GNB,1,2,0,1.50%,1,2,0,3.10%,0,0,0,0.00%,All Patrick Taylor red zone rushing plays,Patrick Taylor,2022
LVR,1,6,0,1.90%,0,0,0,0.00%,0,0,0,0.00%,All DJ Turner red zone rushing plays,DJ Turner,2022
DAL,1,3,0,1.40%,0,0,0,0.00%,0,0,0,0.00%,All KaVontae Turpin red zone rushing plays,KaVontae Turpin,2022
NOR,1,3,0,1.80%,0,0,0,0.00%,0,0,0,0.00%,All Dwayne Washington red zone rushing plays,Dwayne Washington,2022
DEN,1,1,0,2.60%,1,1,0,3.60%,0,0,0,0.00%,All Montrell Washington red zone rushing plays,Montrell Washington,2022
PHI,1,4,0,0.80%,0,0,0,0.00%,0,0,0,0.00%,All Quez Watkins red zone rushing plays,Quez Watkins,2022
GNB,1,15,1,1.50%,0,0,0,0.00%,0,0,0,0.00%,All Christian Watson red zone rushing plays,Christian Watson,2022
NYG,1,14,1,1.40%,0,0,0,0.00%,0,0,0,0.00%,All Davis Webb red zone rushing plays,Davis Webb,2022
NYJ,1,7,0,1.60%,0,0,0,0.00%,0,0,0,0.00%,All Garrett Wilson red zone rushing plays,Garrett Wilson,2022
NWE,1,5,0,1.60%,0,0,0,0.00%,0,0,0,0.00%,All Bailey Zappe red zone rushing plays,Bailey Zappe,2022
SFO,63,193,13,62.40%,34,68,11,60.70%,17,17,9,53.10%,All Christian McCaffrey red zone rushing plays,Christian McCaffrey,2023
DAL,60,164,5,58.30%,30,46,5,60.00%,13,12,3,54.20%,All Tony Pollard red zone rushing plays,Tony Pollard,2023
CIN,56,141,9,77.80%,38,68,8,80.90%,18,19,6,81.80%,All Joe Mixon red zone rushing plays,Joe Mixon,2023
DET,50,139,11,47.20%,31,56,11,50.80%,17,21,9,58.60%,All David Montgomery red zone rushing plays,David Montgomery,2023
LAR,50,190,11,61.00%,32,97,11,62.70%,13,27,8,59.10%,All Kyren Williams red zone rushing plays,Kyren Williams,2023
MIA,44,145,15,48.40%,33,69,13,56.90%,19,15,11,70.40%,All Raheem Mostert red zone rushing plays,Raheem Mostert,2023
PHI,43,86,15,41.30%,29,28,14,43.30%,16,18,13,53.30%,All Jalen Hurts red zone rushing plays,Jalen Hurts,2023
PIT,42,110,8,59.20%,23,68,8,59.00%,7,11,4,43.80%,All Najee Harris red zone rushing plays,Najee Harris,2023
KAN,42,145,6,58.30%,20,56,5,52.60%,9,3,5,50.00%,All Isiah Pacheco red zone rushing plays,Isiah Pacheco,2023
BAL,39,101,13,36.40%,30,66,13,48.40%,19,31,12,63.30%,All Gus Edwards red zone rushing plays,Gus Edwards,2023
IND,39,109,4,42.90%,21,41,3,44.70%,9,10,3,34.60%,All Zack Moss red zone rushing plays,Zack Moss,2023
SEA,38,76,7,55.10%,19,18,6,51.40%,13,8,5,76.50%,All Kenneth Walker red zone rushing plays,Kenneth Walker,2023
TAM,38,88,6,60.30%,19,28,6,76.00%,8,13,6,66.70%,All Rachaad White red zone rushing plays,Rachaad White,2023
NYG,37,74,6,57.80%,15,27,6,68.20%,6,7,4,100.00%,All Saquon Barkley red zone rushing plays,Saquon Barkley,2023
JAX,37,110,7,54.40%,16,20,6,48.50%,9,10,5,60.00%,All Travis Etienne red zone rushing plays,Travis Etienne,2023
DET,37,128,8,34.90%,21,31,5,34.40%,8,8,5,27.60%,All Jahmyr Gibbs red zone rushing plays,Jahmyr Gibbs,2023
DEN,37,78,3,49.30%,17,28,3,47.20%,8,8,3,50.00%,All Javonte Williams red zone rushing plays,Javonte Williams,2023
TEN,36,92,10,67.90%,24,36,8,75.00%,12,5,6,70.60%,All Derrick Henry red zone rushing plays,Derrick Henry,2023
LVR,36,66,5,56.30%,22,33,5,59.50%,8,11,5,53.30%,All Josh Jacobs red zone rushing plays,Josh Jacobs,2023
NOR,36,118,5,39.60%,22,49,4,40.00%,8,5,3,40.00%,All Alvin Kamara red zone rushing plays,Alvin Kamara,2023
BUF,35,137,15,32.70%,21,56,12,32.80%,14,19,8,43.80%,All Josh Allen red zone rushing plays,Josh Allen,2023
PHI,35,112,5,33.70%,27,60,5,40.30%,10,4,2,33.30%,All D'Andre Swift red zone rushing plays,D'Andre Swift,2023
ATL,34,105,3,43.00%,10,16,3,27.80%,4,3,2,36.40%,All Tyler Allgeier red zone rushing plays,Tyler Allgeier,2023
GNB,34,62,2,39.10%,18,27,2,52.90%,7,2,1,41.20%,All AJ Dillon red zone rushing plays,AJ Dillon,2023
GNB,34,113,2,39.10%,10,12,2,29.40%,6,3,2,35.30%,All Aaron Jones red zone rushing plays,Aaron Jones,2023
CAR,33,77,5,57.90%,17,38,5,58.60%,8,-1,3,50.00%,All Chuba Hubbard red zone rushing plays,Chuba Hubbard,2023
ARI,32,91,6,55.20%,18,39,6,54.50%,9,10,4,50.00%,All James Conner red zone rushing plays,James Conner,2023
CLE,32,78,9,48.50%,15,29,8,48.40%,11,15,7,64.70%,All Kareem Hunt red zone rushing plays,Kareem Hunt,2023
HOU,32,91,4,41.60%,17,21,3,39.50%,7,2,2,30.40%,All Devin Singletary red zone rushing plays,Devin Singletary,2023
BUF,31,74,1,29.00%,18,38,1,28.10%,4,1,1,12.50%,All James Cook red zone rushing plays,James Cook,2023
LAC,30,47,5,42.30%,24,38,5,53.30%,13,14,5,56.50%,All Austin Ekeler red zone rushing plays,Austin Ekeler,2023
BAL,30,114,5,28.00%,13,46,5,21.00%,5,0,1,16.70%,All Lamar Jackson red zone rushing plays,Lamar Jackson,2023
IND,28,75,6,30.80%,14,20,6,29.80%,9,6,4,34.60%,All Jonathan Taylor red zone rushing plays,Jonathan Taylor,2023
NOR,27,81,3,29.70%,18,22,3,32.70%,7,3,3,35.00%,All Taysom Hill red zone rushing plays,Taysom Hill,2023
WAS,26,97,5,46.40%,13,26,3,50.00%,7,9,2,46.70%,All Brian Robinson red zone rushing plays,Brian Robinson,2023
PHI,23,53,2,22.10%,10,19,1,14.90%,3,0,1,10.00%,All Kenneth Gainwell red zone rushing plays,Kenneth Gainwell,2023
MIN,23,21,0,45.10%,12,-5,0,42.90%,9,-7,0,56.30%,All Alexander Mattison red zone rushing plays,Alexander Mattison,2023
ATL,23,74,4,29.10%,12,38,3,33.30%,2,3,1,18.20%,All Bijan Robinson red zone rushing plays,Bijan Robinson,2023
SEA,22,14,1,31.90%,13,0,1,35.10%,3,-5,1,17.60%,All Zach Charbonnet red zone rushing plays,Zach Charbonnet,2023
CHI,22,56,4,28.90%,11,13,3,28.20%,5,1,2,25.00%,All Justin Fields red zone rushing plays,Justin Fields,2023
HOU,22,22,2,28.60%,14,15,2,32.60%,8,-1,2,34.80%,All Dameon Pierce red zone rushing plays,Dameon Pierce,2023
NWE,21,44,3,50.00%,11,28,3,57.90%,4,4,2,57.10%,All Ezekiel Elliott red zone rushing plays,Ezekiel Elliott,2023
NYJ,21,44,2,56.80%,10,14,2,66.70%,1,2,1,50.00%,All Breece Hall red zone rushing plays,Breece Hall,2023
BAL,20,71,3,18.70%,11,24,2,17.70%,4,4,2,13.30%,All Justice Hill red zone rushing plays,Justice Hill,2023
BUF,20,41,4,18.70%,17,31,4,26.60%,11,10,4,34.40%,All Latavius Murray red zone rushing plays,Latavius Murray,2023
MIA,19,81,5,20.90%,11,36,5,19.00%,4,9,3,14.80%,All De'Von Achane red zone rushing plays,De'Von Achane,2023
NWE,18,54,3,42.90%,8,25,3,42.10%,3,3,2,42.90%,All Rhamondre Stevenson red zone rushing plays,Rhamondre Stevenson,2023
DEN,18,23,3,24.00%,7,10,3,19.40%,4,6,3,25.00%,All Russell Wilson red zone rushing plays,Russell Wilson,2023
CHI,17,47,4,22.40%,10,25,4,25.60%,6,7,4,30.00%,All D'Onta Foreman red zone rushing plays,D'Onta Foreman,2023
PIT,17,65,3,23.90%,8,4,0,20.50%,4,-4,0,25.00%,All Jaylen Warren red zone rushing plays,Jaylen Warren,2023
CLE,16,24,3,24.20%,10,23,3,32.30%,4,11,3,23.50%,All Jerome Ford red zone rushing plays,Jerome Ford,2023
TAM,16,1,1,25.40%,5,7,1,20.00%,3,-1,1,25.00%,All Baker Mayfield red zone rushing plays,Baker Mayfield,2023
SFO,16,36,2,15.80%,12,20,2,21.40%,8,6,2,25.00%,All Elijah Mitchell red zone rushing plays,Elijah Mitchell,2023
DAL,15,42,2,14.60%,6,10,2,12.00%,4,2,2,16.70%,All Rico Dowdle red zone rushing plays,Rico Dowdle,2023
CHI,15,45,2,19.70%,5,10,1,12.80%,1,1,1,5.00%,All Khalil Herbert red zone rushing plays,Khalil Herbert,2023
LAR,14,24,1,17.10%,9,7,1,17.60%,4,2,1,18.20%,All Royce Freeman red zone rushing plays,Royce Freeman,2023
LAC,14,45,1,19.70%,7,13,1,15.60%,3,3,1,13.00%,All Joshua Kelley red zone rushing plays,Joshua Kelley,2023
JAX,14,28,4,20.60%,10,15,4,30.30%,4,-1,2,26.70%,All Trevor Lawrence red zone rushing plays,Trevor Lawrence,2023
KAN,13,16,0,18.10%,8,-13,0,21.10%,5,-8,0,27.80%,All Patrick Mahomes red zone rushing plays,Patrick Mahomes,2023
DAL,13,67,2,12.60%,7,31,1,14.00%,2,3,0,8.30%,All Dak Prescott red zone rushing plays,Dak Prescott,2023
ATL,12,55,5,15.20%,7,31,5,19.40%,2,2,1,18.20%,All Desmond Ridder red zone rushing plays,Desmond Ridder,2023
LVR,12,17,1,18.80%,7,6,1,18.90%,3,-1,1,20.00%,All Zamir White red zone rushing plays,Zamir White,2023
NOR,12,27,1,13.20%,7,14,1,12.70%,2,2,1,10.00%,All Jamaal Williams red zone rushing plays,Jamaal Williams,2023
2TM,11,53,4,0.00%,4,18,3,0.00%,2,1,1,0.00%,All Joshua Dobbs red zone rushing plays,Joshua Dobbs,2023
LAC,11,35,3,15.50%,6,4,2,13.30%,5,2,2,21.70%,All Justin Herbert red zone rushing plays,Justin Herbert,2023
CHI,11,26,2,14.50%,7,17,2,17.90%,5,6,2,25.00%,All Roschon Johnson red zone rushing plays,Roschon Johnson,2023
ARI,11,25,3,19.00%,9,6,3,27.30%,5,-11,2,27.80%,All Kyler Murray red zone rushing plays,Kyler Murray,2023
DEN,11,38,1,14.70%,7,13,1,19.40%,3,2,1,18.80%,All Samaje Perine red zone rushing plays,Samaje Perine,2023
CAR,11,10,1,19.30%,7,7,1,24.10%,4,0,1,25.00%,All Miles Sanders red zone rushing plays,Miles Sanders,2023
DET,10,16,2,9.40%,4,9,2,6.60%,2,4,2,6.90%,All Jared Goff red zone rushing plays,Jared Goff,2023
JAX,9,17,2,13.20%,4,9,2,12.10%,2,2,2,13.30%,All Tank Bigsby red zone rushing plays,Tank Bigsby,2023
CIN,9,16,3,12.50%,7,11,3,14.90%,4,3,3,18.20%,All Jake Browning red zone rushing plays,Jake Browning,2023
MIN,9,15,3,17.60%,5,8,3,17.90%,3,5,3,18.80%,All Ty Chandler red zone rushing plays,Ty Chandler,2023
WAS,9,40,5,16.10%,5,19,4,19.20%,2,2,2,13.30%,All Sam Howell red zone rushing plays,Sam Howell,2023
GNB,9,23,4,10.30%,5,15,4,14.70%,3,4,3,17.60%,All Jordan Love red zone rushing plays,Jordan Love,2023
SFO,9,53,4,8.90%,2,3,2,3.60%,2,3,2,6.30%,All Deebo Samuel red zone rushing plays,Deebo Samuel,2023
TEN,9,41,2,17.00%,5,10,1,15.60%,3,6,1,17.60%,All Tyjae Spears red zone rushing plays,Tyjae Spears,2023
HOU,9,30,3,11.70%,6,15,3,14.00%,3,3,2,13.00%,All C.J. Stroud red zone rushing plays,C.J. Stroud,2023
MIA,9,3,0,9.90%,6,1,0,10.30%,1,0,0,3.70%,All Tua Tagovailoa red zone rushing plays,Tua Tagovailoa,2023
MIA,9,34,0,9.90%,2,2,0,3.40%,1,1,0,3.70%,All Jeff Wilson red zone rushing plays,Jeff Wilson,2023
NYG,8,15,1,12.50%,1,8,1,4.50%,0,0,0,0.00%,All Matt Breida red zone rushing plays,Matt Breida,2023
NYJ,8,10,0,21.60%,2,6,0,13.30%,0,0,0,0.00%,All Dalvin Cook red zone rushing plays,Dalvin Cook,2023
WAS,8,24,1,14.30%,1,2,1,3.80%,1,2,1,6.70%,All Antonio Gibson red zone rushing plays,Antonio Gibson,2023
NYG,8,38,1,12.50%,2,3,0,9.10%,0,0,0,0.00%,All Daniel Jones red zone rushing plays,Daniel Jones,2023
IND,8,44,4,8.80%,4,10,2,8.50%,3,5,2,11.50%,All Anthony Richardson red zone rushing plays,Anthony Richardson,2023
SEA,8,25,1,11.60%,4,10,1,10.80%,0,0,0,0.00%,All Geno Smith red zone rushing plays,Geno Smith,2023
2TM,7,24,2,0.00%,5,11,2,0.00%,2,1,1,0.00%,All Cam Akers red zone rushing plays,Cam Akers,2023
KAN,7,11,1,9.70%,5,8,1,13.20%,2,1,1,11.10%,All Clyde Edwards-Helaire red zone rushing plays,Clyde Edwards-Helaire,2023
DEN,7,21,1,9.30%,4,7,1,11.10%,0,0,0,0.00%,All Jaleel McLaughlin red zone rushing plays,Jaleel McLaughlin,2023
IND,7,28,3,7.70%,5,9,2,10.60%,4,7,2,15.40%,All Gardner Minshew red zone rushing plays,Gardner Minshew,2023
ATL,7,7,0,8.90%,5,5,0,13.90%,2,-5,0,18.20%,All Cordarrelle Patterson red zone rushing plays,Cordarrelle Patterson,2023
WAS,7,18,2,12.50%,4,1,1,15.40%,3,-1,1,20.00%,All Chris Rodriguez red zone rushing plays,Chris Rodriguez,2023
LAC,7,24,0,9.90%,2,3,0,4.40%,0,0,0,0.00%,All Isaiah Spiller red zone rushing plays,Isaiah Spiller,2023
GNB,7,13,0,8.00%,1,1,0,2.90%,1,1,0,5.90%,All Patrick Taylor red zone rushing plays,Patrick Taylor,2023
NOR,6,5,0,6.60%,2,-3,0,3.60%,0,0,0,0.00%,All Derek Carr red zone rushing plays,Derek Carr,2023
BAL,6,1,1,5.60%,3,5,1,4.80%,0,0,0,0.00%,All Melvin Gordon red zone rushing plays,Melvin Gordon,2023
BUF,6,16,1,5.60%,4,7,1,6.30%,2,0,1,6.30%,All Damien Harris red zone rushing plays,Damien Harris,2023
LVR,6,-2,1,9.40%,3,1,1,8.10%,3,1,1,20.00%,All Aidan O'Connell red zone rushing plays,Aidan O'Connell,2023
SFO,6,16,2,5.90%,3,8,2,5.40%,2,2,2,6.30%,All Brock Purdy red zone rushing plays,Brock Purdy,2023
DET,6,21,1,5.70%,5,8,1,8.20%,2,1,0,6.90%,All Craig Reynolds red zone rushing plays,Craig Reynolds,2023
LAC,6,20,1,8.50%,5,11,1,11.10%,2,0,1,8.70%,All Easton Stick red zone rushing plays,Easton Stick,2023
CAR,6,4,0,10.50%,4,0,0,13.80%,4,0,0,25.00%,All Bryce Young red zone rushing plays,Bryce Young,2023
